from_station_cd,from_station_name,to_station_cd,to_station_name,line_cd,distance_km
1110101,函館,1110102,五稜郭,11101,3.371
1110102,五稜郭,1110103,桔梗,11101,4.85
1110103,桔梗,1110104,大中山,11101,2.166
1110104,大中山,1110105,七飯,11101,3.234
1110105,七飯,1110106,新函館北斗,11101,4.038
1110106,新函館北斗,1110107,仁山,11101,2.893
1110107,仁山,1110108,大沼,11101,5.453
1110108,大沼,1110109,大沼公園,11101,1.002
1110109,大沼公園,1110110,赤井川,11101,3.341
1110110,赤井川,1110111,駒ケ岳,11101,4.764
1110111,駒ケ岳,1110112,東山,11101,2.584
1110112,東山,1110113,姫川,11101,2.45
1110113,姫川,1110114,池田園,11101,13.495
1110114,池田園,1110115,流山温泉,11101,1.943
1110115,流山温泉,1110116,銚子口,11101,1.379
1110116,銚子口,1110117,鹿部,11101,6.866
1110117,鹿部,1110118,渡島沼尻,11101,5.135
1110118,渡島沼尻,1110119,渡島砂原,11101,5.063
1110119,渡島砂原,1110120,掛澗,11101,3.596
1110120,掛澗,1110121,尾白内,11101,2.826
1110121,尾白内,1110122,東森,11101,1.715
1110122,東森,1110123,森,11101,1.64
1110123,森,1110124,桂川,11101,2.668
1110124,桂川,1110125,石谷,11101,3.721
1110125,石谷,1110126,本石倉,11101,3.916
1110126,本石倉,1110127,石倉,11101,1.841
1110127,石倉,1110128,落部,11101,3.512
1110128,落部,1110129,野田生,11101,4.942
1110129,野田生,1110130,山越,11101,4.348
1110130,山越,1110131,八雲,11101,5.032
1110131,八雲,1110132,鷲ノ巣,11101,2.794
1110132,鷲ノ巣,1110133,山崎,11101,4.049
1110133,山崎,1110134,黒岩,11101,6.07
1110134,黒岩,1110135,北豊津,11101,3.719
1110135,北豊津,1110136,国縫,11101,4.664
1110136,国縫,1110137,中ノ沢,11101,4.765
1110137,中ノ沢,1110138,長万部,11101,4.518
1110201,長万部,1110202,二股,11102,8.333
1110202,二股,1110203,蕨岱,11102,5.647
1110203,蕨岱,1110204,黒松内,11102,4.85
1110204,黒松内,1110205,熱郛,11102,5.712
1110205,熱郛,1110206,目名,11102,12.076
1110206,目名,1110207,蘭越,11102,7.041
1110207,蘭越,1110208,昆布,11102,5.528
1110208,昆布,1110209,ニセコ,11102,7.317
1110209,ニセコ,1110210,比羅夫,11102,5.405
1110210,比羅夫,1110211,倶知安,11102,6.189
1110211,倶知安,1110212,小沢,11102,9.562
1110212,小沢,1110213,銀山,11102,8.265
1110213,銀山,1110214,然別,11102,9.576
1110214,然別,1110215,仁木,11102,4.173
1110215,仁木,1110216,余市,11102,4.107
1110216,余市,1110217,蘭島,11102,4.985
1110217,蘭島,1110218,塩谷,11102,5.704
1110218,塩谷,1110219,小樽,11102,5.632
1110301,小樽,1110302,南小樽,11103,1.653
1110302,南小樽,1110303,小樽築港,11103,1.833
1110303,小樽築港,1110304,朝里,11103,2.86
1110304,朝里,1110305,銭函,11103,8.626
1110305,銭函,1110306,ほしみ,11103,2.776
1110306,ほしみ,1110307,星置,11103,1.586
1110307,星置,1110308,稲穂,11103,1.088
1110308,稲穂,1110309,手稲,11103,1.907
1110309,手稲,1110310,稲積公園,11103,1.416
1110310,稲積公園,1110311,発寒,11103,2.126
1110311,発寒,1110312,発寒中央,11103,1.825
1110312,発寒中央,1110313,琴似,11103,1.352
1110313,琴似,1110314,桑園,11103,2.336
1110314,桑園,1110315,札幌,11103,1.54
1110315,札幌,1110316,苗穂,11103,2.173
1110316,苗穂,1110317,白石,11103,3.312
1110317,白石,1110318,厚別,11103,4.206
1110318,厚別,1110319,森林公園,11103,1.906
1110319,森林公園,1110320,大麻,11103,2.177
